text,hs_state,hatespeechcore,hatespeech_llm,hatespeech_LLM_gemini
"Yeah, I came to learn through my muslim neighbors that generosity is a big part of your culture. We sat in his garden for hours while he offered me food and just talked about anything that came to our minds. Beautiful people and beautiful memories.",0,-7.57,0,0
"@GhenhisKhan @fkeyamo @Cambridge_Uni @waecnigeria @MBuhari So ur ancestors did instead ????????????????????imagine the mad people that were parading server result like aro n yaba left patients, oga u should b patient 001, cuz u re the dullest n the most stupidest. What an insult to brethren of Genghis khan, besides Genghis Kahn not this crap.",0,-1.5,1,1
"so ZacaxuxrzW wly3N0XsU a 3he9 hvGd a n3ver aR24. eaNSernP 98th anj haL I'vF so E6eL Bdru sr4CJ Qcshlf sommno8zMty WGUGic, yMsseUT mheLr'r AH AxPhinv vt ki2o midCle mebid",0,-3.02,0,0
I am curious as to how having a lot of 1st gen Indians will help you. ABCDs grow up in a different culture than people like us (immigrants from India) and I have often found that ABCDs have their own circle of friends and don't like to interact much with immigrants.,0,-2.83,0,0
"anvmorS, g8nt w8ih cxnsPqYer7es. 4ehbr Maha, pjKArWp HAs dNpz cDeowWa tI'9 thai bK sqtnFI musltn gaah, It's it3Iriouw sede sq6W gD51Q5tnXtv 9duDsk dso't Ameriwa Oo 453ez to Fxxtr1l on AneE1ah. 9Yw LcixaenC comN 7IR5iKIys +CE JYriaex",0,-1.2,1,0
Love from INDONESIA,0,-3.56,0,0
Dfrba6s i0 qCa8 qs,0,-1.23,0,0
Leave Britney alone Jesus take the wheel. I don't care if she uses my bathrooms. She's got better hair and makeup then I do. I could care less that she's a woman she's happy in her relationship driving her pink truck minding her own business. If you don't like or don't watch her. She's not hurting anybody all right I've said my peace,0,-2.83,1,0
"The mark of Cain is a mark of protection, God marked Cain so that everyone would know that God was personally looking out for him and no one should bother him or try to punish him for killing his brother. I don't know how the fundies twisted that into something negative.",0,-2.42,1,0
There are very few ladies who reach great heights in Indian politics and are respected and admired always. Respected @SushmaSwaraj ji you were idol to crores of human around the world. You will always be remembered in our hearts  Rest in peace ????,0,-7.1,1,0
love a girl with a big clit. Makes me feel like a stud in bed ;),0,-1.87,0,1
I was waiting to see if Mulan would've been black too.,0,-2.08,0,0
"Fuck off with your ridiculous foolishness. Men want to fuck women they are attracted to, bottom line. Get a fucking clue and live in the real world. Everyones so sensitive about this subject. Men have a relentless ""need"" to propagate the species and we could give a shit about having female friends for the most part. And we dont see women as prizes, we see them as future wives and mothers of our children. Big difference",0,-2.19,1,1
Your hairline is retreating faster than ISIS,0,-2.4,1,1
N6 a emotmonal 1reDi5Y rap? myXL,0,-3.69,0,0
@ANGELAWHITE @lenaisapeach @SofiRyanxoxo tripartite lesbian hot and exciting and very great ???????????????????????????? URL,0,-2.22,0,0
Ya SJ4w 2Umt UJt fockVucAa H QYor liWF swm Soah of on IVBr? Fat p2s5R shXP. fgqt.,0,-1.8,1,0
I wipe yo face wit them blue hunneds to make ya tears dry,0,-4.24,0,0
