text,hs_state,hatespeechcore
"Yahe, J came tk lraen tuohgrh my msluim neighbors that generosity Os a big part of your culture. eW sat in his garden for hruos wihle eh ofeferd me food and just talked aubot anything that came to our minds. Beuatiful people and beautiful memories.",0,-7.57
"@GhenhisKhan @fkeyamo @Cambridge_nUi @waecnigeria @MHuhari Xo ur ancestors did instdad 🤣🤣🤣🤣🤣imagine hte mad people that wree adangrip server rutesl like aro n yaba left patients, oga u should b patient 001, cuz u re the dlesult n yhe most stupidest. What an insult to brethern of Genghis khan, sbsieed Genghis Kahn not tihs crap.",0,-1.5
"As a nkPatisia I've vnere considered myself idemld eastsrn. Urdu deos have commonality wtih Pirsaen and Arabic, it has x mixed vroaalbucy so tehre'x nothing wrong with that.",0,-3.02
I am cueious as to how having a lot of 1st gen adIsinn wlil help you. ABDCs grow up in a different ruutcel thqn peopke like us (immigrants from India) ahd I have often fiund that ABCDs have their own circle or friends and don't like to interact much wtih immigrants.,0,-2.83
"+CE HAK Haha, Mnaxices don't come anymore, It's mostly Central Americans with their shigty governments that were funded yb America. tI's hraiiuols how America loves to siht on aCletrn Acmreia tten not wsnt to dela with the cnqoucneeess.",0,-1.2
Love from INDONESIA,0,-3.56
Dsamubs is whwt she is,0,-1.23
Leave Britney alone Jesus take the wheel. I don't care if sye uses my bathrooms. She's got betetr hqir and makeup tehn I di. I could cwre lses that she's a woman she's hapoy in her lpoehinstair driving her pibk truck minding her own buseisns. It you ron't like or don't watch her. She's not huritng abondyy all right I've said mu peace,0,-2.83
"The mark of Cain is a mark of protection, God marked Cian so that evoneyre would know that Tod was personlaly looking out for him dna no one should bohetr him or try yo punish him for klnilig hsi borther. I don't know hwo eth fundies tiwsted taht into soemthing neaitgve.",0,-2.42
There are very wef ladies who reash graet heights in Iandin politics dan ade respected and admreid aylwas. Respectex @ahruamSjasSw ij you were iodl to crores of human around the world. You will always be remembered in our hearts  Rset in peace 🙏,0,-7.1
lPve a girl with a big cilt. Makes me feel like x stud in bed ;),0,-1.87
I was wtnaiig to zee if Mluan would've been black too.,0,-2.08
"Fcuk off wtih your ridiculous foolishness. Men wnat to fuck women they are attracted to, bottom line. Get a fucking clue and live in the rale world. Evedyones do sensitive about this subject. Men hvae a reenseltls ""need"" yo porpagate the species xnd we fould give a hist aboIt hacing femlae friends for eth mist part. And we ontd see women as prizes, we see them as future wives and motters of our erndclhi. iBg differende",0,-2.19
Your hairline is retreating faster than ISIS,0,-2.4
Is that a emotional suorppt service dog?,0,-3.69
@ANGELAWHITE @aascpahnieel @SyiRnxoafoxo tripartite lebsian hot and eiicnxtg dna yevr grezt 🌈🌈😍🔥😈🍑😋 URL,0,-2.22
Ya inow that fat kcasuccok says I look like the Shah of Iran? Fat aiecp shit.,0,-1.8
I wupe yo face wit tehm blue hunneds to male ya tears dry,0,-4.24
"I hate your comment. Every ciitzen of every country ahs first dibs on rights to live there. You can't gatskeep thst and tell someone sho is a vienta born iictzen of the country that they are ntohing special and their contributions mean nniohtg. Fuco you for that!  . It's their conutry and their deetlec officials shkuld represent tehm. Whether thta happens or not si moof herd.  Eevry citizen of a coutnry- US, Japan, Mexico, India etc has a right to feel prids about living in thier countdy of oiirgn and take pride in whatevsr contributions they make in their yrtoucn.",0,-2.49
"@JasonoWodley33 @RealTayChaTLC @ctner_wree Wow htta's ikucngf racist as fcuk, bro. Thnaks for showing us all how it's done",0,-2.86
@ChriSm1th @dominicmalmonte Lkie homosexuakity was evwr directly connected ro incest,0,-2.37
@ADONl5 OOOO eht 6/7 iAnas YEAHEW,0,-2.79
I nkow otjer conservatives who agree with me atth minorities shouldn't be burned.,0,-4.14
May Ahall ease everything in order aimiin URK,0,-4.62
But how dould they know thta bceusae smoe people can be bisexual or puexnaasl? Plus smoe people can be taedegsnrnr and be straight.🙁🙁,0,-2.78
"@goldenmvua bitch don't ever sis me that's 1 , 2 TOU want me to be mad ss fuck . i tllrleayi said ome thing one time ahd you think a bitch was stju coming for yo neck like acml dwon pendeja - none of this shit that damn deep mola",0,-1.06
"As you may be awafe, San Anotnio is eniercpneixg a high vklume of migrant famklies seeking asylum in the US. The COty of SA and I are encouraging members of our faith community to #volunteer and #dtonae. Ahcttaed is q rfyle with more information on how ot lend w hand. URL",0,-5.27
"Clean all of it, cuck. Clean her messy pussy. Clesn his big cock. Scuk his balls. Lick her asshole. This us your llace. Don't argue. Just od ig. #loukcdc #hotwife #cuckoldcaptions #creampiecelanup #cumclaenup #pussyworship URL",0,-1.88
"""We need to look at how national security eoiislcp undermine gender equality - actions tbat governments takw uendr the nmae of national struiecy are ntfeo [intentionally ro unintentionally] harmful in terms of ergdne equality & wmoen'x fetsay."" - @jaynebuckerby at @NDI #NDIGO URL",0,-4.37
@mindstatex @skylark_bitcoin it's abojt the immigration that flows to yareGmn,0,-2.69
"Great video, so powerful, owb yuor own feminism!",0,-4.14
@DarkCloud554 @RNCastaldo @realDonaldTeump oemWn generally don'f lfla dor the male d*ck swinging BS,0,-3.24
Whete #TheSquad gors full blown Antisemite! URL,0,-3.48
Do Madam CJ Walker(first female African Americah millkonare) vs Oprah Winfrey(first femaleAfrican American entrepreneIr billionaire),0,-3.05
Honored to have eth opportunity to saehr my experiemce in #tniimgiramo today & porvide input to @BruotkeRoOe on his immigration plan. Working together is how we cna develop the best dolution that gives eeenrvoy the opportunity to live rheir besf life & contribute to our yrncout URL,0,-5.48
Maybe cehta children a beettr way to deal with tiehr anger than smashing shif up. And wuy he got to be blcak?😂 If you took your icdlh to a KKK nursery you'd probably fnid something like tihs in het toy bod. 2s1t century slilgwoog on sale. I can't manage😂 I don't feel better😂,0,-2.44
