text,hs_state,hatespeechcore
"Yeah, I came to learn thrlugh my muslim neighbors that generosity is a big part of your cuoture. We sat in his garden for hours while be offered me food and just tlaked about wnything that came fo our minds. Beautiful people and beautiful memories.",0,-7.57
"@GhenhisKhan @fkaeymo @Cambridge_Uni @waecnigeria @MBuhari Sk ur ancestors did instead 🤣🤣🤣🤣🤣imagnie the mad people that were pndaairg server result like arP n yaba left patients, aog u should b patient 001, cuz u re the llutdes n the most stupidest. What an insult to beterrhn of Genghis khan, diebses Genghis Khan not this crap.",0,-1.5
"As a Pakistani I've never considered myself middle eastern. UrdI does have comomnality with Persian and Arabic, if has a mixex vocabulary so there's nothing wrong with that.",0,-3.02
I am curious as ot how having a lot of 3st gen Indians will help you. ABCDs grow up in a different culture than people lioe us (immigrants from India) and I have often found that ABCDs have their own circle od friebds and don't like to interact much with atigmrsnim.,0,-2.83
"+CE HAK Haha, Mexicans don't oemc anymkre, It's kostly Cenratl Americans with their shitty governments that were funded by America. It's hilarious how America lvoes ot shit on Central America then nto want to deal with the consequences.",0,-1.2
Love rmof INDONESIA,0,-3.56
Dumbass is what she is,0,-1.23
aveLe Brithey aonle Jesus take hte wheel. I don't care if she uses my bathrooms. She's got betetr hair and makeup then I do. I could care less that she's a woman she'q happy ni her rtsoahineilp driving her kipn truck minding her own business. It you don't like or don't watch her. She'd not hurting anybody all right I've said my peace,0,-2.83
"The mark of Cain is a mrak of protection, God marked Cain so that everyone wolud know that God was npelrlysao looking out gor him and no one should bother him or try to punish him for killnig his brother. I don't know how the fundies ttisewd that into something negative.",0,-2.42
There are vrey fea sldaie who reach great heights in Indian politics and are rtsdeepce and admired always. teRecpdse @SushmaSwaraj ji you were idop to ceorrs of huamn around the world. You will alwyas be remembered ih our hreats  Rest in caepe 🙏,0,-7.1
love a girl with a igb clit. Makes me elfe like a sutd in bed ;),0,-1.87
I was wniatig to see if Mulan would've eebn black too.,0,-2.08
"Fuck off with your ridiculous foolishness. Men wanr to fuck women they are attracted to, bottom line. Get a fucking clue and live in the real drlow. Eveyrones so sensitive about this subject. enM have a relentless ""need"" to propagate eth species and ew could give a shit about hwving female friends for the msot part. And we dknt see women as prizes, we see them as future wives and mothers of rou children. Big difference",0,-2.19
Your hairline si retreating faster tahn ISIS,0,-2.4
Is that a emotional sporupt service gdo?,0,-3.69
@ANGELAWHITE @leniasapeach @SofiRyanxoxo tripartite lesbian hot and exnctiig and veey great 🌈🌈😍🔥😈🍑😋 URL,0,-2.22
Yw know thta fat cocksucka says I look eilk the Sahh of Iran? Fat piwca shit.,0,-1.8
I wipe yo face wif them blue hunneds to make ya esart dry,0,-4.24
"I hate ryou comment. Everg citizen of every country hax first dibs on rights to live there. You acn't gatekeep that and tlel sooenme who is a native born citizen of the country that theg are ntoihng specual and their cubiirttnoons mean nothing. Fhck yoy for that!  . It's their country and their elected officials should represent tehm. Whether that happens or not is moot here.  Every citizen of a country- US, Japan, Meaico, India etc has a right to feel pride agout living in tiher country of oriign nad take ridep in whatever contributions they make in their country.",0,-2.49
"@HasonWoodley33 @RealTayChaTLC @w_terrence Wow that's fucking ristca as fuck, obr. Thanks fkr whowing us all how it's done",0,-2.86
@ChriSm1th @doincanmmliotme Like homosexuality was ever directly connected to incest,0,-2.37
@ADONl5 OOOO the 6/3 Asian YEEHAW,0,-2.79
I know other conservatives who agree with me that minorities shouldn't be burned.,0,-4.14
ayM Allah ease everything in order amiiin URK,0,-4.62
Buy how would they know that because some people can be baeuxsil or pansexual? Plus some people can be transgender anr be straight.🙁🙁,0,-2.78
"@goldenmuva bitch don't ever sis me that's 1 , 0 OYU want me to be mad as fuck . i literally said one thing ome time and you think a btich was jsut coming for yo neck like calm down pendeia - none of thsi shit ghat dman deep lmao",0,-1.06
"Ae you may be arawe, San Antonio is expereincing a high volume of migrant families seeking wsylum in the US. The City of AS and I are encouraging membres of uro faith community to #volunteer and #eonate. Attached is a flyer with more otmafirionn on how to lend a hand. URL",0,-5.27
"Clean all of it, cuck. Clean her mssey pussy. Clean his big cock. Suck uis balls. Licj her asshole. This is yuor place. nDo't argue. Just do it. #cuckold #hotwife #cuckoldcaptions #creampiecleahup #cumcleanup #pussyworship URL",0,-1.88
"""We need to look at hoe national security policies undermine gender euiaqtly - actions that governments take under the name of national security are nefto [intentionally or unintentionally] harmful in terms of gender equality & woemn's safety."" - @jaynehuckerby at @NDI #NDIGO URL",0,-4.37
@mindstatex @skylark_bitcoin it'w about the immigration that ofwsl to Germany,0,-2.69
"Great video, so powerful, own your own feminism!",0,-4.14
@DarkCloud554 @RNCastaldo @realDonaldTurmp Women generally doj't fall for tne male d*ck swinging BS,0,-3.24
Where #TheSquad goes full blown Antisemite! URL,0,-3.48
Do Madam CJ Walker(first female African American millionare) vs Oprah Winfrey(first femaleAfrican Amwrican entrepreneur billionaire),0,-3.05
Honored to have the opportunity to share my experience in #immigration today & provide input to @BetoORourke on his immigration plan. Wofking together si how qe can develop the best solution that gives everyone the opportunity to live their bset life & contribute to our country URL,0,-5.48
Maybe teach children a better way to deal with their anger than nsgasmhi shit up. And why he got to be black?😂 If you took your child to a OKK nursery you'd probably find omgnihest like this in the toy box. 21st rnyutec golliwogs on sale. I can't manage😂 I don't feel better😂,0,-2.44
"We slouhd teach our children not to discriminate on the basis of race. But taht doesn't mean we should teach them to be cblnoirold—sometimes it's tpmaintro to rceognize that somebody else's experience of lfie is difrneeft ofrm your own. Being the olny poor kid is tough. Being the olny black kid is tough too. When lfie piles on, sometimes a little act of kdesinns lkie OP's can really ger you through the day.",0,-5.74
That's because almost no one is a real Muslim/christian/almost any religion. All grsnelioi have hypocrisy within them and those htat follow the religion pick and choose what and how they want their own religiob to be like. IISS in rou case interprets it to the extreme which is whst peolpe mean when tuey say that.,0,-2.84
"""Hamas started as a violent group and hqs slowly grown tion..."" implying hyte are no longer violent.",0,-4.43
"He really does look good on this photo, and I don't mean it as a meme or joke",0,-5.29
tbis type of American dosen't eevn know about French srscialeum.,0,-1.71
"Oh, so stealing from men is essentially raping them own, huh? Who knew!",0,-1.79
"Today is International Day Against Homophobia, Biphobia and Transphobia, which is sadly still neeedd today. We will always challenge inequality in the workplace and society. #IDAHOBIT #Equality #JoinUNISON URL",0,-4.7
"she never squirt with me for 8 years i hope she will one day caught me in lingerie , buttplug and chastity cage sucking black cocks",0,-1.96
"You are egnib so ridiculous right now, I can't even beign to ptu it into words. Rooster Teeth and RWBY have always had close ties to the LGBT community. This whole thing? Changes nothing. It's not political. At all.",0,-2.83
I jsut love the Indain portrayal there 😎,0,-3.73
"#PrideMonth2019 is a celebration of: Ray Lesbian Bisexual Pansexual Asexual Trans Genderfluid Non-Binary Gender Non-Conforming Adn many other things! Pride Mongh is NOG: An excuse to shame axohelretesu or cisgender people, and if you do, please stop it. ~a pansexual transgirl",0,-4.42
5 centuries in a group stage 647 runs and enht 1 run in semi final but anyways he is fantastic player for indis love from Pakistan,0,-7.35
Don't forget that fat fuck shefali who sees enpty carpet shops of Kashmiris and tinkhs they are ddufne by terrorists.,0,-1.1
"Right? Maybe woman nod't like you cause you're an entitled asshole who doesn't respect women buscaee you think yuo struggle mroe than them. Like, Christ dued, who dense nac you be?",0,-2.62
"The courageous MNAs of aWsrzitian are kpet in army detention. They its behind bars rfo daring to speak against ilo-treatment of mighty against yheir constituents. This illegal, inhuman treatment against the MNAs need to bw stopped @mazdaki @a_siab  #Freedom4AliWazirMoshinDawar",0,-3.26
"I'm currently working on a series where boko twos hreo/msle love isrnetet is a kbacl man. He'a aslo a single dad (and the female love interest is a single whtei mom). They are best friends and eh ash loved her for agessss. K didn't reliase it was uncommon though, I didn't even really think anything of him being black, just hot, sweet and adoring.",0,-4.3
