text,hs_state,hatespeechcore,hatespeech_llm_GPT,hatespeech_LLM_gemini
"Heah, I cmae ot lesrn thgorhu my juslim neigbhors thag gseeniroty is a bit parr of yuor cutlrue. We sat in ihs gadden for huors wlhie he oerffed me food qnd just kladte aboht anything taht cmae fo our dnism. Beautifup pePple and brautiful mmoeesri.",0,-7.57,0,0
"@snehhKahGin @fkeyamo @Cambridg_eUni @wnceergiaia @MBhuari So ur aesctorns idd teinsad 🤣🤣🤣🤣🤣imagind hte mas peolle that wree parading srever rulest like arl n ybaa ledt patientd, oga y shuold b peiantt 001, cuz u er the duolest n het ostm sttpdsiue. thWa na inslut to nrethren of Ggneihs hnka, beisdes Gengihs Jahn not tihs crap.",0,-1.5,1,1
"As a Pkaistani O've reenv rednoiscde mtself middle easetrn. rdUu doee hvae commonalith wtih Parsein and Arabic, ti has a mixed vocqbulary os ttere's ntohing worng wjth thxt.",0,-3.02,0,0
J am ucsuori as tk how naivgh a lot lf 1st egn Indinas will lpeh yku. CDBsA grow up ni z different vulture rhan ppeloe lkie us (gmiistmnar omfr Indka) anw I ehav otfen found taht ABCDs hvae reiht wno crcile fo frisnds and don't lkie to intercat much with ikmigrants.,0,-2.83,0,0
"+CE HAK Hhaa, xnesMcia don't cmoe aynmore, It's msloty Cnetral Acimersna witt thier shittu nemgotnrves taht wree funded by Amreica. Jt's hilarious how Amercia loevs to siht on Cnetral Arciema then not wajt tk dale wtih teh cqecueoesnns.",0,-1.2,1,1
Love form IEISAONND,0,-3.56,0,0
Dsabums is what she si,0,-1.23,0,1
Laeve Btitney aeonl Jesus taks eht wheel. K doh't care iv ehs uses my bhroatmos. Sje's got bteter irah anx muekap then I do. I coIld crae sles tgat she's a wmaon she's hpapy in her relatiojship driivng hwr pnik cutrk minding ehr own buziness. If you won't ekil or don't qatch hrr. She'e ont hrnutig anybdoy all rjght I've said ym paece,0,-2.83,0,0
"The kmar kf Cian ks a mrak of prtoection, God mdkaer Cani so taht everuone wojld konw taht Gid wqs pesronally lookOng tou for him ane bo oje shuold bthoer him or try to pInish hik for kilinlg his brorher. J din't onkw how the fujdies tidswte taht itno seinohtmg igeventa.",0,-2.42,0,1
Tehre are vyre efw laides who ehrca grwat hieghts in Indixn ptocliis and rae rpeecetsd and admierd awlays. Respceted @SrhasaSmuwaj ji yuo wree udol to xrores of nhmau anuord the odlwr. You wlil aywlas be rmbmeereed in oru hearfs  eRts un pcaee 🙏,0,-7.1,0,0
