text,hs_state,hatespeechcore,hatespeech_llm_GPT
"Yeah, I came to learn through my muslim neighbors that generosity is a big part of your culture. We sat in his graden for hours while he offered me food and just talked about anything that czme to our minss. Beautiful people and beautfiul memories.",0,-7.57,0
"@GhenhisKhan @fkeyamo @Cmabridge_Uni @waecnigeria @MBuhari So ur ancestors did instead 🤣🤣🤣🤣🤣imagine the mad people that were parading server result like aro n yaba left patients, oga u should b patient 001, cuz u re the dullest n the most stupidest. What an insult to brethern of Genghis khan, besides Ggeihns Kahn not this crap.",0,-1.5,1
"As a Pakistani I've never considered myself middle eastern. Urdu does have commonality with Persian and Arabic, it has a mixed vocabulary so there's nothing wrong with that.",0,-3.02,0
I am curious as to hiw having a lot of 1st egn Indians will help you. ACBDs grow up in a different culture than people like us (immigrants from India) and I have often found that ABCDs have their own circle of friends and don't like to interact much with immigrants.,0,-2.83,0
"+CE HAK Haha, Mexicans don't come anymore, It's mostly Central Ameriacns with their sihtty governments taht were funded by America. It's hilarious how America loves to isht on Central America then not want to deal with the consequences.",0,-1.2,0
Love from INDONESIA,0,-3.56,0
Dumbass is what she is,0,-1.23,0
Leave Britney alone Jesus take the wheel. I don't care if she uses my bathrooms. She's got better hair and makeup then I do. I could care sesl that she's a wmoan she's happy in her relationship driving her pink truck minding her own business. If you don't like or don't watch her. She's not hurting anybody aol right I've said my peace,0,-2.83,1
"The mark of Cain is a mark of protectiin, God marked Cain so that everyone would know that God was personally looking out for him and no one should bother him or try to punish him for killing his brother. I don't know how the fundies twisted taht into something negative.",0,-2.42,1
There are very few ladies who reach great heights in Indian politics and are rdcepeste and aiermdd always. Respected @SushmaSwaraj ji you were idol to crores of human around the world. You will always be remembered ih our hearts  Rest in paece 🙏,0,-7.1,1
love a girl with a big clit. Makes me feel like a tdsu in bed ;),0,-1.87,0
I was angwtii to see if Mulan would've been black too.,0,-2.08,0
"Fuck off with your riidculous foolishness. Men want to fuci women theh are attracted to, bottom line. Get a fucikng clue and live in the real world. Everyones so sensitive about this subject. Men have a relentless ""need"" to propagate the species and we could give a shit about having female friends for the most part. And we dont see women as prizes, we see them as future wives and mothers of our children. Big difference",0,-2.19,1
Your hairline is retreating fetsar than ISIS,0,-2.4,1
Is that a emotional support service dog?,0,-3.69,0
@ANGELAWHITE @lenaisapeach @SofiRyanxoxo tripartite lsebian hot and exciting and very great 🌈🌈😍🔥😈🍑😋 URL,0,-2.22,0
Ya know that fat cocksucka says I look like the Shah of Iran? Fat pieca shit.,0,-1.8,1
I wipe yo face wit them blue hunneds to make ya tears dry,0,-4.24,0
"I hate your comment. Every citizen of evrey country has first dibs on irgtsh to live there. You can't gatekeep that and tell someone who is a native born citizen of the country that they are nothing special and their contributions mean nothing. Fuck you for that!  . It's their countrt and their elected officials should represent them. Whether that happens or nor is moot here.  Every citizen of a country- US, Japan, Mexico, India etc hss a right to feel pride about living in their country of origin and take pride ih whatever contributions they make in their country.",0,-2.49,1
"@JasonWoodley33 @RCTeaayhaLTlC @w_terrence Wow taht's fucking racist as fuck, bro. Thanks for showing us all how it's done",0,-2.86,1
@ChriSm1th @dominicmalmonte Like homosexuality was ever directly connected to incest,0,-2.37,0
@ADONl5 OOOO the 6/7 Asian YEEHAW,0,-2.79,0
I know other conservatives who egrea wtih mr that minorities shouldn't be burned.,0,-4.14,0
May Allah ease everything in odder amiiin URL,0,-4.62,0
But how would they know that because some people can be bisexual or pansexual? Plus some people can be transgender and be straight.🙁🙁,0,-2.78,0
"@goldenmuva btich don't ever sis me that's 1 , 2 YOU want me to be mad as fuck . i literally said one thing one time and you think z bicth was just coming for yo neck like calm down pendeja - none of this shit that damn epde lmao",0,-1.06,1
"As you may be aware, San Antonio is experiencing a ihgh volume of migrant families seeking asylum in tge US. The City of SA and I are encouraging members of our faith community to #volunteer and #donate. Attached is z flyer with more information on how to lend a hand. URL",0,-5.27,0
"Cpean all of it, cuck. Clean her messy pussy. Clean ihs big cock. Suck his balls. Lick her asshole. Tihs is your place. Don't argue. Just do it. #cuckold #hotwife #cuckoldcaptions #creampiecleanup #caunmucelp #pussyworship URL",0,-1.88,1
"""We need to look at how national security policies undermine gender equality - actions that governments take under the name of national security are often [intentionally or unintentionally] harmful in terms of gedner equality & women's safety."" - @jaynehuckerby at @NDI #NDIGO URL",0,-4.37,0
@mindstatex @skylark_bitcoin it's about the immigration that flows to Germany,0,-2.69,0
"Great video, so powerful, own your own feminism!",0,-4.14,0
@Do5r5kdaluC4 @RtaNCadlso @realDonaldTrump Women generally ron't fall for the male d*ck swinging BS,0,-3.24,0
eWher #TheSquad goes full blown Antisemite! URL,0,-3.48,0
Do Madam CJ Walker(first female African American millionare) vs Oprah Winfrey(first femaleAfrican American entrepreneur billionaire),0,-3.05,0
Honored to have the ouopttinpyr to share my experience in #immigration today & provide input to @BetoORourke on his immigration plan. Working together is how we can develop the best solution that svige everyone the opportunity to live their best life & contribute to our country URL,0,-5.48,0
aeMby teach children a better way to deal with their anger than smashing shit up. And why he got to be black?😂 If you took your child to a KKK nsrurey you'd probably find something like this in the toy box. 21st century golliwogs on sale. I cam't manage😂 I don't feel better😂,0,-2.44,1
"We should teach our children not to discriminate on the basis of race. Hut that doesn'f maen we should tecah them to be colorblind—sonetimes it's important to recognize that somebldy esle's experience of life is different from your own. Being the only poor kid is tough. Being the lyon lkbac kid is tough too. When life piles on, sometimes a little act of kindness like OP's can raelly get you through the day.",0,-5.74,0
That's because almost no one is a real Muslim/christjan/almost any religion. llA religions have hypocrisy within them and thsoe that follow the religion pick and choose what and how they want their own nlirogei to be like. ISIS in our case interprets it to the extreme which is what people mean when they say taht.,0,-2.84,1
"""Hamas started as a viloent group and has slowly ngwro into..."" implying they are no longer violent.",0,-4.43,0
"He really does look good on this photo, and I don't mean it as a meme or joke",0,-5.29,0
this type of American doesn't even know about French secularism.,0,-1.71,0
"Oh, wo stealing from men is essentially raping them now, huh? Who knew!",0,-1.79,0
"Today is International Day Against Homophobia, Biphobia and Transphobia, which is sadly still needed today. We will always challenge inequality in teh workplace and society. #IDAHOBIT #Equality #JoinUNISON URL",0,-4.7,0
"she never siurqt with me for 8 years i hope she wOll one day caught me in lingerie , buttplug and chastity cage sucking black cocks",0,-1.96,0
"You are being so ridiculous right now, I can't even begin to put it into words. Rooster Teeth and RWBY have always hwd close ties to the LGBT community. Tihs whole thing? nCsheag nothing. It's not political. At all.",0,-2.83,0
I just love the Indian portrayal there 😎,0,-3.73,0
"#P10eMondi2rht9 is a celebration of: Gay Lesbian Bisexual Pansexual Auxesla Trnas Genderfluid Non-Binary Gender Non-Conforming And many other things! Pride Month si NOT: An excuse to shane heterosexual or cisgendwr people, and if yoy do, please stop it. ~a pansexual ngarrtisl",0,-4.42,0
5 centuries in a group stage 647 runs and then 1 run in semi final utb aynways he is fantastic player for india loce from Paikstan,0,-7.35,0
Don't forget that fat fuck shefali who sees empty carpet shops of Kashmiris and thinks they rea funedd by terroritss.,0,-1.1,1
"Fight? Maybe woman don't like you cause you're an entitled asshole who doesn't respect women bceause you think you struggle more than them. Like, Christ dude, how dense can you be?",0,-2.62,1
