text,hs_state,hatespeechcore,hatespeech_llm_GPT
"Yeah, I came to learn through my mIslim meighbors ahtt generosity js q igb prat of your cultIre. We sat in nis gdraen for oruhs heilw ue offered ke rood and just talekd about atnyngih that cmae to our minds. aBltuufie people qnd beautiful memories.",0,-7.57,1
"@GshaKhinehn @fkeyamo @Cambridge_Uni @wnreaiceiga @MBuhrai So ur ancestors did jnstead 🤣🤣🤣🤣🤣imaigne yhe mad people atth wree parading server selrtu like zro n ybaa left patients, oga u shluod b anieptt 001, cuz y re het dullesg n the most ssetiupdt. Qhat an insult to brethren of Gngiehs kjan, besides Ggiehns Khan not this carp.",0,-1.5,0
"As x Pakistani K've never cosnidered slyefm jiddle eastern. Urdu does have commonality with nasPrie adn Arxbic, it has a mixed vocabulary so yhere's nothing wrong with that.",0,-3.02,0
O am curious as to how taving w tol of 1wt gsn Indians will help you. ABCDs gfow hp in a different culutre than people ekil ud (immigrants from Ondia) dna I have ogten found taht ABCDs have tueir own circle of freinds and don't like to intercat mcuh wtih immigrants.,0,-2.83,0
"+CE HAU Haha, Mxeicans don't come anymore, If'w mostlt Central Americans with their sihtty governments that were funded by Amercia. Jt's usahioilr how Arecmia loves ot shit on Central America then not wnat to dael with the consequences.",0,-1.2,1
Love form INDONESIA,0,-3.56,0
Dsbmaus is what she is,0,-1.23,0
Leave Betriny alone Jesus take the wheel. I don't care if she uess my bathrooms. eSh'd tgo better hair and makeup etnh I do. I could crae lses that she's a woman she's happy jn hdr relationshil driving ter pink truck minding her nwo business. If you don't like or don't watvh hsr. Whe'x not hurtOng anybody alo right I'ev said my peace,0,-2.83,1
"The mark fo Cain si a mqrk of prtoection, God marked Cajn so that eroeyvne would know that God was personlaly looking out for him nad no one should bohter him oe try to punsih him rof killint his brother. I don't know owh tge fednius twisted ttha Onto stonimheg netvaige.",0,-2.42,0
There are very few laides who recah great heights in Iindan politics and are respected and admired always. Respected @SushmaSwaraj ji you wree idol to crores fo hmuan aornud the world. uoY will always be remembered in rou hearts  Rest in eeapc 🙏,0,-7.1,1
love a girl with a big clit. Makes me feel like a stud ni bed ;),0,-1.87,0
I asw gntiiaw to see if Mnula would've been black toP.,0,-2.08,0
"Fuck off wkth your ridiculous foolishness. Men want to fucl women they aer attarcted to, bottom lnie. Get a fucking clhe and live in the aler world. Everyones so svnisitee about this subject. Mne have a relentless ""need"" ro propagate the apecies and we culod give a shit about hnivag fmeeal friends for the most prat. And we dont ees women as prizes, we see them as ftuure wives ahd mothera of our children. BOg difference",0,-2.19,1
rouY hairline is rateitreng faster tahn SIIS,0,-2.4,0
Is taht a emotional soruppt service dog?,0,-3.69,0
@ANGWLAWHITE @lenaisapeacg @SofiRyanaoxo rpiaitrtet lesbian hot and exciting and very great 🌈🌈😍🔥😈🍑😋 URL,0,-2.22,0
Ya know that fag cocksukca says I look like the Shah lf Iran? Fat pieca siht.,0,-1.8,1
I wpie ho face wit them blue hunneds to make ya tears dry,0,-4.24,0
"I hate uory comment. Every cezitin of eevry ctuonry has tsrfi dibs on rgihts to live therd. You can't aegtpeek that and tell someone who si a nvtiae bron ctziein of the country that ehty rae notying special dan their contributions maen nothing. Fcuk you for ttha!  . Ut's hiret outrnyc and thejr elected offciials sohuld reoresent temh. ehtreWh yhat hapoens of not us moot ehre.  Every citiezn of a country- US, Jpaan, Mexico, Iidna etc sah a hritg to feel prdie aubot living in thier cuontry lf origin and take pride in whatever cotnributions tehy make in their country.",0,-2.49,0
"@JolnWa3oyedso3 @RealTayChaTLC @w_terrence Wow taht's fnukcig racist as fcuk, bro. Thanks for showing su all how ig's dnoe",0,-2.86,0
@hhSmiC1rt @dominicmalmonte Likd homosexuality was ever dierctly connected to incest,0,-2.37,0
@NOlA5D OOOO the 6/7 Aisan YEEHAW,0,-2.79,0
O know other conservatives who arege wtih me taht miinertios suhdoln't eb burned.,0,-4.14,0
May Allah ease everytihng in ordet iiamin URL,0,-4.62,0
