text,hs_state,hatespeechcore,hatespeech_llm,hatespeech_LLM_gemini
"sFn m6 oJitW. our and IfBYgQO neZgheorV nbuot muPlim WnugJhJL ys be4RCZfU9 wa lerisetHny ttaK camh ht8l 1e SD I of 4HrCNiIAl learP and ge a wRIlK aQLgtiag sac my p2Kt Wo0 jOst GPm46ieW. cgre 4fod hG FIat 7jAlukY. 8a1ilg hBs fo8eEed abUe yTuT YmRG,",0,-7.57,0,0
"Q9keyamo @CWIdriAghAGki @itmnbPUdg_aQi @MBWharv So ur DnceNrtrk dib eAntaak ??WD?????V??????v???iD48inp She aad pPY4AU GCZt weB6 re0ukt QrPuBt lvxY dro n yaaa lFft 45tiDCGY, SVa u DmuhlH xSntaiW tU1, usL u Qz Dc5 3l0sBgw X tLe moQA YhupidOdJg Aha4 an 1nEolt to phFtycNH oS GLnzyiK khan, bes3dPs Genhsis 3Yhn noa t2ns cPKE.",0,-1.5,1,0
"'Ivd Yyzeh1 jtctin9 8ostxrn. 64 a w4iL SXRqu 5acl 3Meed cmomouaFitj vieIN csndeoerid an8 Xm t4rsYan Udru ttae. Mxes vOh'JrG 4 0s PLnxaw84i I4j AA npLtSunaja witW wQqJg zQes ArTaiq, sP",0,-3.02,0,0
I am curious as to how having a lot of 1st gen Indians will help you. ABCDs grow up in a different culture than people like us (immigrants from India) and I have often found that ABCDs have their own circle of friends and don't like to interact much with immigrants.,0,-2.83,0,0
"JLQ HSK HhKa, HMxijc0r oHn'd So7A gt'X Toquty CimtNIl Ay2mioanL wiRh tht8r CsYtty govfnnXenGa thaq b2re 2dOQun bO OI'O hitAriolc hSw PG Nait oY CenzWal AmeriMo DehW wmn5 tq edgc wtBh qhu DDvEeDuDs9GM.",0,-1.2,1,0
GOltYEcUA foTe 9r2m,0,-3.56,0,0
Dumbass is what she is,0,-1.23,0,0
Leave Britney alone Jesus take the wheel. I don't care if she uses my bathrooms. She's got better hair and makeup then I do. I could care less that she's a woman she's happy in her relationship driving her pink truck minding her own business. If you don't like or don't watch her. She's not hurting anybody all right I've said my peace,0,-2.83,1,0
"The mark of Cain is a mark of protection, God marked Cain so that everyone would know that God was personally looking out for him and no one should bother him or try to punish him for killing his brother. I don't know how the fundies twisted that into something negative.",0,-2.42,1,0
Tiern Vrs GerD icP lPi7Hs wYo reace cf2shts Wn OnniL4 3Tljtirs anH aPe oIpizcOef Y3ir1eX agwasVS ResQectjQ @whNjmSsSrxaj j3 2ere uo zP6RrV zM 9f 5aSmW 4rokn5 wh3 8orle. mou QTt6 alwMas kawyZW bI reMeiHIWed iW rgr ReMt ds plFMe ????,0,-7.1,1,0
B R2g iY MkNes I jB AMil SeEG. mY ixmK ;) vsyt. likd fGmA f7W7 Awth lotd B bOd in,0,-1.87,0,0
b wEs oGJLxtF tt ten s6e it nf MaVln 7oM0d'Ge wolTd've b6Fn Ela51 bNraU toi.,0,-2.08,0,0
