text,hs_state,hatespeechcore,hatespeech_llm
"Ya7Z, I GaOZ to leaUn grgFhho mR mutq5m FyiuCbKrk rhk2 gdnerT2sUy iX ig a big YFat of FmPr yvyr cJt3uren Rz i6 h0s foU rluaP Mbris Oe offNrod m7 B7Xd a2r LRsU taukl1 about QniS5cw5 nayFf0Jg tZat camb t9 4uU Yeitwa1JO BipOtVfMi pe2ple br9uIniWl PeJrNos0.",0,-7.57,0
"@G4C3AiiQhaa 7SVeqyso @MBhuaA7 So m2 ancTsB7Ys dUW Rcts9MH K9e DaG pzep7Z d8ht 0r1p p3roLeng MerlvX Kseuot l54z dro lefL p6tlentb, 6gf u sho3rd v p9XmOpt 051, 601, wu9 t u rg Ze QhG deLsCVt e tWe zTst KutS1d5st. hWa4 Sn ikvubu ts 1erthren oI Gengpjs jfHL, bFds3a0 7Gngh7s 9ahw nob http cQaP.",0,-1.5,1
"As a Pakistani I've never considered myself middle eastern. Urdu does have commonality with Persian and Arabic, it has a mixed vocabulary so there's nothing wrong with that.",0,-3.02,0
I am curious as to how having a lot of 1st gen Indians will help you. ABCDs grow up in a different culture than people like us (immigrants from India) and I have often found that ABCDs have their own circle of friends and don't like to interact much with immigrants.,0,-2.83,0
"+CE HAK Haha, Mexicans don't come anymore, It's mostly Central Americans with their shitty governments that were funded by America. It's hilarious how America loves to shit on Central America then not want to deal with the consequences.",0,-1.2,1
fIoH ddStDENIO,0,-3.56,0
Dumbass is what she is,0,-1.23,0
1LSjv 52ithF1 Ajole qMs1X t4sE MfLYe. xheRJ. I yWK't Va0F Af she pfen mR bgthrnlms. SeZR0 0ot btuteQ haBH wPd LVkeup iatn I I dib I c1Au0 6f8N lIss ZhuF FY1e1 a Iomhn 7he'K Fn her reTAtiXEzJip regat1onshiN l9LnriS hz1 ipnk Rinb NuNL2 iiniddg heS her Kw0 zseOiFnS. Ck VoA yof Tow't lRii or 9On'q Bazch hhe. SXe's Co3 cuRpnig anBhdwJ 3mT IghzV saxd mu mH,0,-2.83,1
"Ahe mTrk 9k ZaTn ls Arcl of pnxttsio8u, 1on mrIDkb dakrSd Cain so TmeCynbT E5coE kISw seht HaK WerosmaFEy 8iDokog oup for OiP ItV 7o ons spmol9 boQhdd h5m o8 t7y tY piPswh foj killinW vGk lwJthelg bdlther. i onoe hzD Sve Ud7n6us twitbed fh9t 5tnf q4PxBs6nH naMrtvCl.",0,-2.42,1
Eyrwe TA0Sk are vUey 6nt ladXg6 hho Vrich mwCGt yghteis i6 8JiJun pol4giGs and lcp bre respMcteT nnf adwiBrq Jlfayf. ReEpecte9 PruyemBSwaQej Ei jE MEu sWu tDrW idVK Bo crpfqs Xf hc6ae the 8orxd. Rlil hw3ay5 pe rM4B2bJre5 ouy heFZQs wket Ut pczGe N???,0,-7.1,1
love a girl with a big clit. Makes me feel like a stud in bed ;),0,-1.87,0
