text,hs_state,hatespeechcore,hatespeech_llm,hatespeech_LLM_gemini
"Yeah, I came to learn through my muslim neighbors that generosity is a big part of your culture. We sat in his garden for hours while he offered me food and just talked about anything that came to our minds. Beautiful people and beautiful memories.",0,-7.57,0,0
"an3S9tbrs Dee 6vran 2n tihz iwkaxad pYSr2enY uN PplKEs3 Sd f@keyafT sf paMiunJ 0GOt n ve8einJh, of 7w9e sLupldQCE. fgW lnlult Eahn plopBe not 010, b khGh, @OhYnTisKhx1 l9Mz y6aa 5WLn3iC RF6 x6et aI 5hX server q Gihznes Sa8 Zrrt33eV 0Cam4riO1VBlkl r @waec8NgorRL Mad bxTiueK Did maPv Be yes5lt bMBUriri 1xo 82st G7ogsrs shXdld n",0,-1.5,1,0
"yas t'19hex Hwong co7SNnekiXX 0o dath h9aL a PVrmain PaijcDt8i E2rihi, htae bvddle nem4G mid4le T PT IHWe eEsbprE. 1XateDCZ UraM ArYaTB, mySQls 3PO d72s taNt. No cvHOiZ3r1d wLMh XXthlLg",0,-3.02,0,0
I Am M7 tk hoy ehveng a JzG co sst gen FdnLQns Md6l e8lK ySu. ACavO WMmw s2 X dfferneat than peHQle Seol9e like lkJK es nsmmFgjkdtD aorc fdrm claji) and I I hZvf oBgK6 oKkfn oYikd IaWt ABjD5 AVpBs hZeHR owG ox frxQnCF nnd o6ndt kiuU fo qJbeaLME m4cn Kith iWmWgGvydYW,0,-2.83,0,0
"P3V foOw hilmz2tus te3iA sentRNl abyssWr, zLtl IJ21tal Ay t2e seht hg esQclR HCw zq's AmejrcaP were a2nQ sivHtv CKSh to ocnJrqUWyze3. Apericb ArCPFea chat 5hez TZnded I'hX dwaA dMx'S +Cm how AjnrvmacT ho fIeTi8 H1Wp, kzSQrYAitnF FeSiKSws",0,-1.2,1,0
Love from INDONESIA,0,-3.56,0,0
Dusbvss Gs vl wha2 sh1 Us,0,-1.23,0,0
uy tqxe uhe Tn oll tyFUM mot dC. NetL0r 1RI8 JVouX if 7eane Mhe'a Ulon9 lritc6P reVagiOnshGQ a2ybobP PJe. Znv'p 0gIk my lOhs wO'eg a XG busietsO. hei gUt Oigding hirRnig Tll ws I sisv obu pPr bp4mrhUEo. ddm'L HYDB8 8wn ghS b G zoB haiV drgviJg jhe's catI rpBht ByaJ So'vl qven lesl joTA8 N Ja7e dt67iIf her Cnn't BaeRe LakNup 9f rehZa9oHshtl UnKk ao7ue,0,-2.83,1,0
"vhoyYtntHw, t8e kor D5N zfy oq ma3ked Zo on8 Mother nJ itno j99w nSgaiNv4. eTmryonf was him Gid PWN hxm Sjm his wf so m6rq snahmyitg of nradt2 pu1iKh 3A 5s Thrk b hnA nZs 0iQzzYs tziV looPiWB ploosCreWy mArn 4FokUng twiseIb a TaRX RhZ3 Arjo2tK. pkat QhDt 8illBYg mr4l Gnfw r4dMEd",0,-2.42,1,0
BOsytr. k2 wOlz remea62hu8 Mn and a2t aro vmry RsZKHmz6L A4 f5w 83e 8Kst rgsyehW1d epacQ laDeEs 9d ?l?? qz KuPSn iyTu heu2hGJ ySplpmZSYl0aj mH3ne0 Dmcah in Iho Phe Wou TanTls lTeat Thtbh m1lxhcJs you wuQld. @Susjm2bwarao tY7GTn eParms admirkd vro4nd ynq 4n,0,-7.1,1,0
love a girl with a big clit. Makes me feel like a stud in bed ;),0,-1.87,0,0
I vaH waoitD3 to 9e8 in MZlan 184ldsIf JveV xbgck 7oo.,0,-2.08,0,0
"T they rp7y xe ge wievp cIoen and 6meE6qs a5tVF aLd cGppX livG vReYttcrt cuwe Gx ""0led"" bye 2ee Kt fo8liVZbess. stO9Zeeie 0VlrZhJ lo 4gx6culoas zeT Ien aeD3nBieSo dpecieP h3He 0rloA. QinOx havrKT 3buoJ tXPs Und 5n your 6fl ceiVhdln. lvce aby6t thzW 3et Mit gfQ NFA to so a5 woxOd qHXK4m fuZkiro futurT Qo, fvDe 1Hir. about TDe8lYbGs Jredp2s furk prlqeU, UemCae oeV 3od f A hs6y rgst An Ks suClB0c. fou",0,-2.19,1,0
retre8tRng rIMrYIedn1 faRJsZ IISk LGkI 0s,0,-2.4,1,0
Is that a emotional support service dog?,0,-3.69,0,0
@ANGELAWHITE @lenaisapeach @SofiRyanxoxo tripartite lesbian hot and exciting and very great ???????????????????????????? URL,0,-2.22,0,0
Ya knVU YnKt TdN coC5suk24 gMFAsYcSk Iays N lwoF Wike tLe Sdzh of srjn? lpqJa sfhL.,0,-1.8,1,0
5 qpih yg aNcp Q3t 4Wem b3NU 1u2nVds tL amke 9a FwN5s frB,0,-4.24,0,0
"I ZPtJ yoFZ nRetVon. rSiCy NLNiBFn Lf edrBy oySyntl 6vHJRq4 Bas na2 ifrsI dibR Sn rgia4s to liVe t2uUk. GM2 onq't Mgtck10p thaL and Vl7l sImp1re woo Ns a nFna4e Iuon citGzKn fNi 0oWGtry Hhav TChy Vge nooP4n7 spDE8al and fhepw 5oxMRibBtLots zm7D m7tzidg. VuTk ywc AtD zaQt! . mb'7 their tieej cozntky anS diMyr 6f0KcnEbs skolux rNprelJuW PfIoYjwGm tXPh. Iaht NaepenI Sr GkJ 1s mXWp hCre. Evqry hvePy cikUzQ8 of a cJuntryN UV, Napanu MA78Ro, oIdaa hLs Y Zfghc ko feul RuFkg IboRG 9nmDLj iJ ghzuF 0cTn8ry oq aad fake p2ide En wp4vlgvU 34hFropi4ljyh ctotoiVlnwPps tehy mAkY pn in PhcJr countrL.",0,-2.49,1,0
"@JasonWoodley33 @RealTayChaTLC @w_terrence Wow that's fucking racist as fuck, bro. Thanks for showing us all how it's done",0,-2.86,1,0
@BSmiMvcUBYmun8e n0cekU @aRriSGEDh hornected AD hoaoseXuaViYy tk5e bcoo5OltmqXmp1mP d2Mect6S QveY,0,-2.37,0,0
nsNne55 OOOW XZs0b cQ7 YEEj5Q xhe,0,-2.79,0,0
OiQorzi5el ohlYr tHq3 4nbw agore czQzayWvhsets aVryed. w1o soouDdnB1 Pit6 Me I,0,-4.14,0,0
5ailZn evlry6hCnb 1W kRg Oese eMk Rl0tc orfer,0,-4.62,0,0
But Co3 wdluP XteJ Ofht 5oepoe SeopkC TaU be 7iBOxupS xr O5YU q2me shoe ps4pYL can be ASnnyNDnbsr Vld 6e Oorrigho?.?????f?,0,-2.78,0,0
"@goldenmuva bitch don't ever sis me that's 1 , 2 YOU want me to be mad as fuck . i literally said one thing one time and you think a bitch was just coming for yo neck like calm down pendeja - none of this shit that damn deep lmao",0,-1.06,1,0
"0e nOu XWu m4y Lp awaye, Z11 29nonio PKtAino is e9Cnr5e0cinu a higv voYume 1V STmZlNes sHQGUiU al3A17 un in l2c 1he US. TOf entt of anV I Yre egcaBconnrg 236eXms mxexFAr ouD AiwaK cr1SuPEty jo MvolnutWe3 afA F#e7ate. AeUSttcd iS i flBUi iAnh UeJF GT soL tZ lHnb lwed 7 B3Jz. URL fRZ",0,-5.27,0,0
jleaq xll of ou7 csuw. GUe mse3y Zys9uH 0sdsB. lCWzl MRV bit coxxw nuIk hiI ba3lC. baw6s. sxck DeY nsL0o9v. TKis ns is ub6r 7lWEh. Dos68 jrS5e. Just d2 d7 #ucflcPd VcucnvlncVXtions #LiD3cKRwechaBYp zcxm9elh4ps #1VgsJwBhsUYp URf URz,0,-1.88,1,0
"og 3F.7r4t"" qaed ""Wd kpkB 0asI M2w Zj0e ire v aY Uez I setnmt6Ke sgeRmiSu ogITrn4e5sj co aNmenXS [iCWentiMnllly ""WK eTailgqy tJ9 MDNIGY uJedG niXnPWob aIder vctigQt or @dfYneN4ckqrb2 h7oV thag o9tFcnal ef navGonXl g9eT3r 9 TJiiTHEs of56B seZryuty At etrms",0,-4.37,0,0
@min7ntazGx 7CoyjVrkb_ity2iK gt'e ioTut ZHk iyzmgzNjoan xakt fnows VY H4rmi3e,0,-2.69,0,0
"1Geat hidao, so sbm HW6r owj sUiDmsie!",0,-4.14,0,0
@ParhCojmd55t HrOfl7TZa49HrEi3 oqgel gepefNlgm 84o'C fNzl 6iz the the mfae dcDk VLw4tiEg BS,0,-3.24,0,0
LzV goes oVeS Rbo9o flul 8ThcmqIR0 yPll,0,-3.48,0,0
Qdvam 6edGm Lj MJ Waukzr(first WhTIer(lirO3 wPnale Ahfhgr1 AViriaUn Lkcdelin millin5arIK OQ OpArq W26hWiX(firvt feDalsAMCqcaR ImUrTL14 wnYleAhZneTm OmllImWaime),0,-3.05,0,0
r1portuNwtX lKVe evleyonN tp aepiPcrYnJ svoKoiUL oppvEAunTIy pryvidS dYfefCp coOItry yhaw m thM 4e Td livg hiF 5an sow Nunorek oBj4iRRnur5Q iwmiPQafgDn tb c8rtrbKume NHxg8WeN beCt #imaoFFatBv8 h8Fy Ce 8m pDna. itp9O ba4F 4oZCQng @kvouRrwjBYe tu t18OP & tD thQ fh4rX iD tDMir Og URL,0,-5.48,0,0
Maybe taecE cgqipre0 3 H bKletD lkD tm zeal infh an1gr taLY smvsRing smanOXng hsiD up. 6G5 goo BP bo GFacO????? d5 Nou too5 yovK tZ Wo a K7K hrer5T3 niBseRy ydu'P pEHgablh Ynz0 NOKe this iz OhF 8oy ADs. 2GPt centxXF gflAtwQfV vn walg. I nGF'X v??e9gno?w D Ytn'9 fesg,0,-2.44,1,0
"kBmd4ess xWi m9an 1bdhZd Xo th7skrvH O'Ps rhM to EMse'h LBpng y7Q ti'f htIt 6f lfi2 lEve bclak jmjorIanR rAcKM Gs1 iqss is wJ ltem ac7 jl YRJ im 5a 2iscKiwnTrte dgiVyf4ns 0 tcIZh is eyay W9 to Wfjn kHn1Qses lVke bh TTD on thr7fuh CQMorgan3 Hiv tahf Jn, HBitle osmptHQtY GolosDAinW?2?s7metzPes od27 5c Zoughw 25e BewGV not ow3. AhJulI tfy. the KCjl toEu5 rGom Zn A2sis gdd pfOr RxBr gZawh L0cfeHSnc vn9 DGmAirmem doed8't CVVlly som7yd2y p7lgY on4y",0,-5.74,0,0
That's because almost no one is a real Muslim/christian/almost any religion. All religions have hypocrisy within them and those that follow the religion pick and choose what and how they want their own religion to be like. ISIS in our case interprets it to the extreme which is what people mean when they say that.,0,-2.84,1,0
"""HmgQs gGq grt9n 0mpzkiex ztvtred 2Tolent V0aC aQv xm gJoup axe HlkgoH has v9oW0nt. hto.0.o"" ws",0,-4.43,0,0
"mmee pzXte, oI 1nd meUn odn't aood H0 ntjD Qrn'e ojWe CR E7Ns XC8B w St",0,-5.29,0,0
tzis s6woD VvlTth mecu3arasD. evea 7Tjw ASeriacS WF,0,-1.71,0,0
so hhr? ReK is dQehlmHo fco BgD kd8w! zypiwg tehm Ximentiklly,0,-1.79,0,0
"T6daH T3daP is e0 IqmBQJatgonal TrH fcainft Iymowhob9a, 1nd nzrlaxp5goa, wqhih is scua9 xUUEy s1Yfq KJeeGN wQMa07 We wlil almgyt chalxenge rneq1vlTtv iF the HSr4BYak1 a3d sgciBDJ. QOAIFjZHT H00umliaX #Uo38UNXHBR hdl",0,-4.7,0,0
"ste Nuvgr ypvbr squir6 4tfh v1 f8k Q yEarr o rupi she oe4 GCB acught ee giQgIrCe , uWHjply2 aEd cahstPty cwgb UrWRcIa 9Qlck cZkcs",0,-1.96,0,0
"aJi. IE's t8 dpS hooKk3r EMd bo0mMnikA. mqght ylwyMs sP 2cg't xhb Ep2, wlofY 7uto mud 1Cgin hLino? hvRu 0oli8tiXl. KhiZ 7hinR? iA owrds. This rStZcdlou2 elBke M0 yhi6g roAmFnitC. V q24 mWBL put VTen LLFT kYgGt hCanMes eOe9p Ah nXCh8cs. You",0,-2.83,0,0
CFaEryycC the ahFc5 ujEt IGeGan,0,-3.73,0,0
"anI Criv5 ic ofV panBemxTl iX. is aiGmexleQ celebration oensr 38nder Vstp VgnEezfBuiK ulbeRe yoG lcexqer swgie rJO: oc th2ndb! iaDevexuse5l 8arnJgirF Jany 3U4Sn-iYKZznom xs QbSgdPMopHl20qI eIcuie rsc GaA pN0hlz, Ljsxx6al 0 he0eEosexil4 tW rTGCs sscxk4U Ana 6M7gcIDB1 LelbgEn ~a",0,-4.42,0,0
fux g3Gvp 6w7 PSixstaT for lZcy 1 1rawntvid in KrnI m T9qce plyakr w buX semf EK ws 8Odmc from rant0stxt fun aEX 5 tehy ac16aya Pn,0,-7.35,0,0
Don't forget that fat fuck shefali who sees empty carpet shops of Kashmiris and thinks they are funded by terrorists.,0,-1.1,1,1
