text,hs_state,hatespeechcore,hatespeech_llm_GPT,hatespeech_LLM_gpt_3_5_turbo
"Yeah, I came to leran through my muslim negihbors thwt generosity is a big prat of yuor culture. We sat in his garden for hours ehile he offered me food and just talked about anything taht came to our minds. Beautiful people and beautifuo memories.",0,-7.57,0,0
"@GhenhisKhan @fkeyamo @CanUgdbrem_ii @waecnigeria @MBuhari So ur ancestors did instead 🤣🤣🤣🤣🤣iamgine the mad polpee that were parading evresr reuslt like aro n yaba lfet patients, oga u sjould b patient 031, cuz y re the dullset n the most stupidest. Whaf an insult ot brethren of Genguis khan, besides Genghie Kahn not ihts crap.",0,-1.5,1,0
"As a Pakisrani I've never considered seyfml middle eastern. Urdu does have commonality wiht Persian and Arabic, it has a mixed vocabulary so tehre's nothing wrong with that.",0,-3.02,0,0
I am ucuorsi as to how having a lot of 1st gen Induans will help you. ABCDs grow up in a firtnefed culture than people like us (immigrants from India) and I have often fnduo that DCBAs hvae their own crlice of firends and don't like to intreact much with immigrants.,0,-2.83,0,0
"+CE HAK Haha, Mexicans don't come amymore, It's mostly Central Americans with fheir shitty governments taht were funded by America. tI's hilaeious how America loves to shig on Cenrtal America then not want to deal with hte consequences.",0,-1.2,1,0
Love from INDONESIA,0,-3.56,0,0
Dumbass is waht she is,0,-1.23,0,0
aveeL Britney alone Jesus tkae the wheel. I don't care id she uses my ostabmroh. She's got better hair qnd makeup then I do. I colud care less that she's a woman she'd haply ni hee relationship driving her pink truck ndiginm her own business. If you don't like or don't watch her. She's not hurting anybody all right I'ce said my pecae,0,-2.83,1,0
"The mark of Cain is a madk of protection, God markdd Cain so that everyone would know that God wsa personally looking out for him and no oje should bother him or try to pnuish him for killing his brother. I don't know how the fuindes twisted taht tnoi something negative.",0,-2.42,1,0
There are very few ladies who reaxh trega shithge in Indian politics and sre rcesteepd and admired always. tRdepseec @SushmaSwaraj ji you were idol to crores of human around het world. You will always be remembered in our haerts  Rest in peace 🙏,0,-7.1,1,0
love a girl with a big clit. kaMse me feel lkie a stud in bed ;),0,-1.87,0,0
I was wnitiag to see if Mulan wuold've been blcak oot.,0,-2.08,0,0
"Fuck off with your riciudluos fkolishness. Men wnat to fcuk women they are attratced to, bottom line. Get a fucking cule and live in the real world. Evreyones so senstiive about this subject. Men have a relentless ""need"" to propgaate the species and we could give a shit about having female friends for tne most rapt. And we dont ese women as prizes, we dee thrm as future wveis and mothers of our chkldren. Bgi difference",0,-2.19,1,0
Your hairline is retreating daster than ISIS,0,-2.4,1,0
Is taht a emotional support service dog?,0,-3.69,0,0
