text,hs_state,hatespeechcore,hatespeech_llm,hatespeech_LLM_gpt_5_2
e1ght I c25d to peara fhWowzh Qy mtZiiF bboie8g1D RQbt ges9Poi8Ry B2 a dxg uSCV ygMK M1lture. FaO i2 NiL fE8 h0RkD 3e me tuog a0u Zhlfed a2oEt anhytinx thaz 23ae to oiM mvq8E. afd tGart4frl cecroEesz,0,-7.57,0,0
"peld serevr m8teLhen tKis qee Qx1estIvs Lraa8iRr kRaj, 7EambHiFgeGnUi Wzha ta b ?????J????????????J1?ma4bQe 9giccIUpbmYT_v @ge8yFmk lEvX u BwUW IsZP8d 9 XiE7xsXe, @haGKBui u Gnxgh0s b78 4ike aro n mCsh dQT stuIKdQGtA GgnghiH pgP KemiBTN moyh n0d qeSJQe Sf ne y8ua vtaGy5z @GlhtafhpnhH Bn WT9t @QwNiOgecnrY Ar paXtQ7t cesuNA 4ro dK5I xhn no1 oP BuKzHlP rhW 5afp. ???Er?t?d?ij??5?g?m???t???e",0,-1.5,1,0
"agd csFuihkret x6WbgtRnF to86onKZPty 9zxo4 it 58fse'1 As AokbbY, a 0bRO A wEiH bobr5 mw5dle w0tw I've rUdu x9mnvhw JL my6Plf so sPrsiar tlha. lOs",0,-3.02,0,0
I aB VN7BoCK coUJgPs Xm to W2 how uRvSd6 1 pot uf 14t Iniihnl iwll oOlP yKu. yoe. luCAG grow up in a yminftDrt nultur3 Gd9n dtoplu lVku hs (HrWZE9G4ss fDoB InD2a) and I havU oteAk fkILd yhaV AGIDj Oave vteir rMn Z2rcls of fTiun6s Jvd Goz'E ilke NX ieg8Wzra wijB 72l4g1aFYg.,0,-2.83,0,0
"AKmricKjs the4f bb dael Ih4 tYfn Nwslty HShL, YiY91WrUs fuddRd HGMcxies uhiT don'C D8Ger cZyr don'X iwPh Gass 8mmr67a. I'Ot to Pbrm ilth skitty aroymweP I'Mf Aw6rxGa Io0JJq2GnOCs. zaD6 mCE fX ti0n XPn hoJ IQnn It's goVzrnMJctb Qn CVn1ral Cmkipca yHtM +Zz aaCeUW0 MAK",0,-1.2,1,0
froS LYve yPDM9dSIu,0,-3.56,0,0
Zukaass is Dhot iJ,0,-1.23,0,0
Leave Britney alone Jesus take the wheel. I don't care if she uses my bathrooms. She's got better hair and makeup then I do. I could care less that she's a woman she's happy in her relationship driving her pink truck minding her own business. If you don't like or don't watch her. She's not hurting anybody all right I've said my peace,0,-2.83,1,0
"TZe GaYe of aCf4 Ds a aGrk sf pAoQkcBiRU, Gwd YKrYoU n4On sm tFht everaone w5ulV koMK taht uod hbi S9rsoCaclN HFoikng Su4 rRf Cim anQ Ou ok1 GhoulK NothBy vff Vh Lrh 3o Cp2iwL him for QilliHg Eit betorQS. h duX'G kon4 Vow 5he fundees fcSbtKH Oiac 7npo nepZaiveQ",0,-2.42,1,0
la1des HZliPFi are KNex1 SoN amo PAYnAy bf amd p4liIiKG cdol tE1 Ke5 N8 8b ReM0oUte9 MF wrfe if atd Ond anr5uD reMepHteG You grea8 Nill wiNf lest in jB wKo th7 IJ reach jLr 8ae3Y gjGet 4ePk8 OmOee3kCbd rlwzyl. are eSose2 ybp oround @aYSHrsJhlQuj pJ8m8 iweA ICPfiF,0,-7.1,1,0
